open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.67311E+12,13.193,13.239,13.167,13.202,400205,1.67311E+12,5286347.686,9151,195860,2586946.471,0
1.67311E+12,13.201,13.231,13.181,13.218,314273,1.67312E+12,4150972.014,7721,156351,2065078.452,0
1.67312E+12,13.219,13.226,13.179,13.212,280670,1.67312E+12,3705751.756,7253,134970,1782008.229,0
1.67312E+12,13.212,13.239,13.156,13.187,573266,1.67313E+12,7561647.039,10541,259497,3422920.322,0
1.67313E+12,13.187,13.189,13.143,13.163,364998,1.67313E+12,4805317.017,8126,163520,2152931.548,0
1.67313E+12,13.163,13.164,13.012,13.03,1085479,1.67313E+12,14202610.47,20002,417740,5464899.384,0
1.67313E+12,13.03,13.096,13.01,13.087,805245,1.67314E+12,10518146.37,14381,406621,5311840.21,0
1.67314E+12,13.086,13.139,12.834,12.901,2526508,1.67314E+12,32774695.47,40538,1157225,15017447.71,0
1.67314E+12,12.902,13.24,12.88,13.176,2997366,1.67314E+12,39093691.52,47224,1630482,21265193.64,0
1.67314E+12,13.176,13.358,13.155,13.341,3906011,1.67315E+12,51827245.83,63559,2139922,28397270.2,0
1.67315E+12,13.341,13.399,13.26,13.361,2152905,1.67315E+12,28677837.93,35280,1090926,14534462.79,0
1.67315E+12,13.36,13.428,13.25,13.269,1482061,1.67315E+12,19747739.6,25601,668307,8908141.112,0
1.67315E+12,13.269,13.319,13.259,13.309,607567,1.67316E+12,8076373.745,11896,324959,4319346.928,0
1.67316E+12,13.308,13.317,13.265,13.277,577124,1.67316E+12,7667207.848,10898,319625,4246224.997,0
1.67316E+12,13.276,13.348,13.248,13.317,921610,1.67316E+12,12257924.12,16825,471758,6275584.982,0
1.67316E+12,13.317,13.676,13.26,13.593,3062186,1.67317E+12,41199118.79,48632,1769328,23807575.42,0
1.67317E+12,13.593,13.78,13.474,13.506,4458535,1.67317E+12,60692421.59,77890,2199393,29942338.32,0
1.67317E+12,13.506,13.67,13.489,13.515,2061700,1.67318E+12,27969927.62,34184,1045421,14184825.57,0
